id,father,mother,gender,trait,SNP_01,SNP_02,SNP_03,SNP_04,SNP_05,SNP_06,SNP_07,SNP_08,SNP_09,SNP_10,SNP_11,SNP_12,SNP_13,SNP_14,SNP_15,class
TRAIN_000,0,0,0,2,G G,A G,A A,G A,C A,A A,A A,G G,A A,G G,A G,A A,A A,A A,A A,B
TRAIN_001,0,0,0,2,A G,A G,C A,A A,A A,A G,A A,G A,A A,A G,A A,G A,G G,A A,A A,C
TRAIN_002,0,0,0,2,G G,G G,A A,G A,C C,G G,A A,G A,G A,A G,A A,A A,A A,A A,A A,B
TRAIN_003,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,A A,G G,A G,G G,G G,G G,A A,G G,A
TRAIN_004,0,0,0,2,G G,G G,C C,A A,C C,A A,A A,A A,A A,G G,A A,A A,A G,A A,G A,C
TRAIN_005,0,0,0,2,G G,G G,C A,A A,C C,A A,A A,G A,A A,G G,A A,A A,A A,A A,A A,B
TRAIN_006,0,0,0,2,G G,A G,C A,G A,A A,A G,A A,G G,A A,G G,A G,A A,A G,A A,A A,B
TRAIN_007,0,0,0,2,G G,G G,C C,G A,C C,A A,G A,G A,A A,G G,A A,G A,A A,A A,G G,B
TRAIN_008,0,0,0,2,G G,A A,C A,G G,C A,A A,A A,G A,A A,G G,A G,A A,A G,A A,A A,B
TRAIN_009,0,0,0,2,G G,G G,C A,A A,C C,A G,A A,G G,A A,A G,A G,A A,G G,A A,G G,C
TRAIN_010,0,0,0,2,G G,A G,C A,G A,C A,A G,A A,G A,G A,G G,A G,A A,A G,A A,A A,B
TRAIN_011,0,0,0,2,G G,A G,C C,G A,C A,A G,A A,G G,A A,G G,A A,G A,A G,A A,A A,B
TRAIN_012,0,0,0,2,G G,A G,C C,A A,A A,A G,A A,G A,A A,G G,A A,A A,A G,A A,G G,C
TRAIN_013,0,0,0,2,A G,A A,C A,G A,A A,G G,A A,A A,A A,A A,A A,A A,A G,A A,A A,C
TRAIN_014,0,0,0,2,G G,G G,A A,G G,C C,A A,G A,G A,A A,G G,A A,A A,A G,A A,A A,B
TRAIN_015,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G G,A G,A G,G A,G G,C C,G G,A
TRAIN_016,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G A,G G,A G,G G,G G,C A,G G,A
TRAIN_017,0,0,0,1,A G,A G,A A,G G,C A,A G,G A,A A,G A,A G,G G,G A,G G,A A,G G,A
TRAIN_018,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,A A,G A,A A,G G,G G,G G,C A,G G,A
TRAIN_019,0,0,0,2,G G,A G,A A,A A,C A,A G,A A,G A,A A,A G,A G,A A,A G,C A,G A,C
TRAIN_020,0,0,0,2,G G,A G,C A,G A,A A,A G,A A,G G,A A,G G,A G,A A,A G,A A,G G,B
TRAIN_021,0,0,0,2,G G,A G,C C,A A,C C,A G,A A,G G,A A,G G,G G,A A,A G,A A,G A,B
TRAIN_022,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,A A,G G,A G,G G,G G,G G,C A,G G,A
TRAIN_023,0,0,0,2,G G,A G,C C,G A,C A,A G,A A,G G,A A,G G,A A,A A,A A,A A,G A,B
TRAIN_024,0,0,0,2,G G,A A,C C,A A,A A,A A,A A,G A,A A,G G,A A,A A,A G,A A,A A,C
TRAIN_025,0,0,0,2,G G,A G,A A,G A,C C,A A,A A,G G,A A,G G,G G,A A,A G,A A,A A,B
TRAIN_026,0,0,0,2,G G,G G,C C,G A,C C,A A,A A,G A,A A,G G,A A,G A,A G,A A,A A,B
TRAIN_027,0,0,0,2,G G,G G,A A,A A,C C,A G,A A,G A,G A,G G,A G,A A,G G,A A,A A,B
TRAIN_028,0,0,0,2,G G,G G,C C,G A,C A,A G,A A,G G,A A,G G,A A,A A,A G,A A,A A,B
TRAIN_029,0,0,0,1,A G,G G,A A,G A,A A,G G,G G,A A,G A,A A,G G,G G,G G,A A,G G,A
TRAIN_030,0,0,0,2,G G,A G,C C,A A,C C,A A,A A,G G,A A,G G,A A,G A,G G,A A,G A,B
TRAIN_031,0,0,0,1,A A,G G,A A,G G,A A,A G,G A,A A,A A,A A,G G,G G,A G,C C,G G,A
TRAIN_032,0,0,0,2,G G,A G,C C,G A,C A,A G,A A,G G,A A,G G,A G,A A,A A,A A,A A,B
TRAIN_033,0,0,0,2,A G,G G,A A,G A,C C,A G,G A,G A,G A,G G,A G,G A,A A,A A,A A,B
TRAIN_034,0,0,0,1,A A,A G,A A,G A,C A,A G,G A,A A,G A,A A,G G,G G,G G,A A,G A,A
TRAIN_035,0,0,0,2,A A,A A,A A,A A,C A,A A,A A,G A,A A,G G,A A,A A,A A,A A,G A,C
TRAIN_036,0,0,0,2,G G,A G,A A,G A,A A,A A,A A,G A,A A,G G,A A,A A,G G,A A,A A,B
TRAIN_037,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,G A,A A,A A,G G,G G,G G,C A,G G,A
TRAIN_038,0,0,0,2,G G,A A,C C,G A,C C,G G,A A,G G,A A,G G,G G,G A,A G,A A,A A,B
TRAIN_039,0,0,0,2,G G,A A,C C,A A,C A,A G,A A,G G,A A,G G,G G,A A,G G,A A,G A,B
TRAIN_040,0,0,0,2,G G,A G,C A,A A,C A,A A,A A,G A,A A,G G,A A,A A,A A,A A,G A,B
TRAIN_041,0,0,0,2,G G,A G,C A,A A,C C,A G,A A,G G,A A,G G,A G,G A,A G,A A,A A,B
TRAIN_042,0,0,0,2,G G,A A,C A,G A,C A,A G,A A,G G,A A,A G,A A,G A,A G,A A,G A,B
TRAIN_043,0,0,0,1,A A,A G,A A,G G,A A,G G,G G,A A,G G,A A,G G,G A,A G,C A,G G,A
TRAIN_044,0,0,0,2,G G,A A,A A,G A,C A,A G,A A,A A,A A,G G,A G,G A,A G,A A,A A,C
TRAIN_045,0,0,0,2,G G,A G,A A,G A,C C,A G,A A,G A,G A,G G,A G,A A,A G,A A,G A,B
TRAIN_046,0,0,0,2,G G,A A,C A,G A,C A,A A,A A,G A,A A,G G,G G,G A,G G,A A,A A,B
TRAIN_047,0,0,0,1,A A,G G,A A,G A,C A,G G,G A,A A,A A,A A,G G,G G,G G,C C,G G,A
TRAIN_048,0,0,0,2,G G,A G,C A,A A,C A,A A,G A,G A,A A,A G,A A,A A,A A,A A,A A,C
TRAIN_049,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,A A,G A,A A,G G,G A,G G,C A,G G,A
TRAIN_050,0,0,0,1,A A,G G,A A,A A,C A,A G,G A,A A,A A,A G,A G,G G,G G,C C,G A,A
TRAIN_051,0,0,0,2,G G,A A,A A,A A,C A,A A,G A,G A,A A,G G,A A,A A,A G,A A,G A,C
TRAIN_052,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,G A,G A,A G,G G,G A,G G,C A,G A,A
TRAIN_053,0,0,0,2,G G,A A,A A,A A,C A,A G,G A,G G,A A,A G,A G,A A,G G,A A,G A,C
TRAIN_054,0,0,0,2,G G,A G,C A,G A,C C,A G,G A,G G,A A,G G,A G,G A,A A,A A,G A,B
TRAIN_055,0,0,0,2,G G,A A,C A,G A,C A,G G,A A,G A,G A,G G,A G,A A,A G,A A,A A,B
TRAIN_056,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G G,A A,G G,G G,G G,C A,G G,A
TRAIN_057,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G A,A G,G G,G G,G G,C C,G A,A
TRAIN_058,0,0,0,2,G G,A G,C C,A A,A A,G G,A A,A A,A A,G G,A A,A A,G G,A A,G A,C
TRAIN_059,0,0,0,2,A A,A A,C A,A A,C A,A A,A A,G A,A A,A A,A A,A A,A G,A A,A A,C
TRAIN_060,0,0,0,2,G G,A G,C C,A A,C C,G G,A A,G G,A A,G G,A G,A A,G G,A A,A A,B
TRAIN_061,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,G A,A A,A G,G G,G G,G G,A A,G G,A
TRAIN_062,0,0,0,2,A A,A G,A A,A A,C A,G G,A A,A A,A A,G G,A G,G A,A G,C A,A A,C
TRAIN_063,0,0,0,2,A G,A A,A A,A A,C A,A A,A A,G A,A A,G G,A A,A A,G G,A A,A A,C
TRAIN_064,0,0,0,1,A G,G G,A A,G A,A A,G G,G G,A A,G A,A G,G G,G G,G G,C A,G G,A
TRAIN_065,0,0,0,2,A A,A A,A A,A A,C A,G G,A A,A A,A A,G G,A A,G A,G G,A A,G A,C
TRAIN_066,0,0,0,2,G G,A A,C C,A A,C A,A A,G A,G A,A A,G G,A A,G A,A G,A A,A A,C
TRAIN_067,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G A,A G,G G,G G,G G,C C,G G,A
TRAIN_068,0,0,0,2,G G,G G,C A,G G,C A,A G,A A,G G,A A,G G,A G,A A,A A,A A,A A,B
TRAIN_069,0,0,0,2,G G,A A,A A,A A,A A,A A,G A,G A,A A,G G,A G,A A,G G,A A,A A,C
TRAIN_070,0,0,0,2,A G,A A,C A,A A,C A,A G,A A,G A,A A,A G,A A,A A,G G,A A,A A,C
TRAIN_071,0,0,0,2,A G,A G,C A,A A,C A,A G,A A,A A,A A,A G,A G,A A,G G,C A,G A,C
TRAIN_072,0,0,0,1,A A,G G,A A,G A,C A,G G,G A,A A,G A,A A,G G,G G,G G,C C,G G,A
TRAIN_073,0,0,0,2,A G,A A,A A,G A,C A,G G,A A,G G,A A,G G,A G,A A,G G,A A,G A,B
TRAIN_074,0,0,0,2,G G,A G,C A,G A,C C,A A,A A,G A,A A,G G,A G,A A,G G,A A,G A,B
TRAIN_075,0,0,0,2,A G,G G,C A,A A,C A,A G,A A,G G,A A,G G,A G,G A,A A,A A,G A,B
TRAIN_076,0,0,0,2,G G,A A,A A,G A,A A,A G,A A,G G,G A,A G,A A,A A,G G,C A,A A,C
TRAIN_077,0,0,0,2,G G,G G,C A,A A,C C,A G,A A,G A,A A,G G,A G,A A,A A,A A,A A,B
TRAIN_078,0,0,0,2,G G,A A,C A,A A,C A,A A,G A,G G,A A,G G,A A,A A,A G,A A,G A,C
TRAIN_079,0,0,0,1,A A,G G,A A,G A,A A,G G,G G,A A,A A,A A,G G,G G,G G,C A,G G,A
TRAIN_080,0,0,0,2,A G,G G,C A,A A,C C,A G,A A,G A,A A,G G,A G,A A,A G,A A,A A,B
TRAIN_081,0,0,0,2,G G,A G,C A,A A,C C,A G,A A,A A,G A,G G,A A,G A,A G,A A,A A,B
TRAIN_082,0,0,0,2,A G,A A,A A,A A,C A,A G,A A,A A,A A,A A,A A,A A,A G,C A,A A,C
TRAIN_083,0,0,0,1,A G,G G,A A,G A,A A,G G,G G,A A,G A,A A,G G,G G,G G,C C,G G,A
TRAIN_084,0,0,0,2,G G,A A,C C,A A,A A,A A,G A,G G,A A,G G,A A,G A,G G,A A,A A,C
TRAIN_085,0,0,0,1,A A,G G,A A,G A,A A,A G,G A,A A,A A,A G,G G,G G,G G,C C,G A,A
TRAIN_086,0,0,0,2,G G,A A,C A,A A,C C,A A,A A,A A,A A,A A,A G,A A,A A,C C,A A,C
TRAIN_087,0,0,0,2,G G,A A,C A,A A,A A,A G,A A,G A,A A,G G,A G,A A,A G,A A,G A,C
TRAIN_088,0,0,0,2,G G,A G,A A,A A,C A,A G,G A,G A,A A,G G,A G,A A,A A,A A,G A,C
TRAIN_089,0,0,0,2,G G,G G,A A,A A,C A,A A,A A,G A,A A,G G,A A,A A,A G,A A,A A,B
TRAIN_090,0,0,0,2,G G,A G,C A,A A,C A,G G,A A,G G,G A,G G,A G,G A,A A,A A,A A,B
TRAIN_091,0,0,0,2,G G,G G,C C,G A,C C,A G,G A,G G,A A,G G,A G,A A,A G,A A,G A,B
TRAIN_092,0,0,0,2,G G,A A,C C,A A,A A,A G,A A,G A,A A,G G,A A,A A,G G,A A,G G,C
TRAIN_093,0,0,0,2,G G,G G,C A,A A,C C,A G,A A,G A,A A,G G,A G,A A,A A,A A,G G,C
TRAIN_094,0,0,0,2,G G,A G,C A,A A,C C,A A,A A,G G,A A,G G,A G,A A,A G,A A,A A,B
TRAIN_095,0,0,0,2,G G,A G,C A,A A,C C,A G,A A,G A,G A,G G,A A,A A,A A,A A,A A,B
TRAIN_096,0,0,0,2,A G,A G,C C,G A,A A,A A,A A,G G,A A,G G,A A,G A,G G,C A,G A,C
TRAIN_097,0,0,0,1,A A,G G,A A,G A,C A,A G,G A,G A,A A,A G,G G,G G,G G,C A,G G,A
TRAIN_098,0,0,0,1,A G,G G,A A,G A,A A,G G,G G,A A,A A,G G,G G,G A,G G,C A,G A,A
TRAIN_099,0,0,0,2,A G,G G,C C,A A,C C,A G,A A,G G,G A,G G,G G,G A,A G,A A,G A,B
TRAIN_100,0,0,0,1,A G,G G,A A,G G,A A,G G,G G,A A,G G,A A,G G,G A,G G,C A,G A,A
TRAIN_101,0,0,0,2,G G,G G,C C,G A,C C,A G,A A,G G,A A,G G,G G,G A,A G,A A,G A,B
TRAIN_102,0,0,0,1,A G,G G,A A,G G,C A,A G,G A,A A,G A,A A,G G,G A,G G,C A,A A,A
TRAIN_103,0,0,0,2,G G,A A,C A,A A,C C,A G,A A,G G,A A,G G,A A,A A,A G,A A,G A,B
TRAIN_104,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G A,A G,G G,G A,G G,C A,G G,A
TRAIN_105,0,0,0,2,A G,G G,C A,A A,A A,A G,A A,G G,A A,G G,A A,G A,A A,A A,A A,B
TRAIN_106,0,0,0,1,G G,G G,A A,G A,A A,A G,G G,A A,A A,A G,G G,G G,G G,C A,G G,A
TRAIN_107,0,0,0,2,G G,A A,C A,G A,C A,G G,A A,G G,A A,G G,A G,G G,G G,A A,A A,B
TRAIN_108,0,0,0,2,G G,A A,C A,A A,A A,A G,A A,G G,A A,G G,G G,A A,G G,A A,A A,B
TRAIN_109,0,0,0,2,A G,A A,C C,G A,C A,A G,A A,A A,A A,G G,A A,A A,G G,A A,G A,C
TRAIN_110,0,0,0,2,G G,A A,C A,G A,A A,A G,A A,G G,A A,G G,A A,A A,A G,A A,G A,B
TRAIN_111,0,0,0,2,G G,A G,C C,G A,C C,A A,A A,G A,A A,G G,A G,G A,A G,A A,G A,B
TRAIN_112,0,0,0,2,A G,A G,C A,G G,C C,A G,A A,G G,A A,A G,A A,A A,A A,A A,G A,B
TRAIN_113,0,0,0,2,A G,A G,C C,A A,C C,A G,A A,G G,G A,G G,A G,G A,A A,A A,A A,B
TRAIN_114,0,0,0,2,G G,G G,C A,A A,C A,A G,A A,G G,A A,G G,A G,A A,A G,A A,A A,B
TRAIN_115,0,0,0,2,G G,A G,C A,A A,A A,A G,A A,G A,A A,G G,A G,G A,A G,A A,A A,B
TRAIN_116,0,0,0,2,G G,A G,A A,G G,C C,A A,A A,G A,A A,G G,A A,A A,A A,A A,A A,B
TRAIN_117,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,A A,G A,A A,G G,G G,G G,C C,G G,A
TRAIN_118,0,0,0,2,A G,G G,A A,A A,C A,G G,A A,A A,A A,A A,A G,A A,A G,A A,G A,C
TRAIN_119,0,0,0,2,A G,G G,C A,G A,A A,A A,A A,G G,A A,G G,A A,G A,A G,A A,G A,C
TRAIN_120,0,0,0,2,G G,A G,C A,G A,C C,A A,A A,A A,A A,G G,G G,A A,G G,A A,A A,B
TRAIN_121,0,0,0,2,G G,G G,C A,A A,C C,A G,A A,G G,A A,G G,A G,A A,A G,A A,G A,B
TRAIN_122,0,0,0,2,G G,A A,A A,A A,C A,G G,A A,G A,A A,A A,G G,A A,A G,A A,G A,C
TRAIN_123,0,0,0,1,A G,A G,A A,G G,A A,G G,G G,A A,G G,A A,G G,G A,G G,C A,G A,A
TRAIN_124,0,0,0,1,A A,G G,A A,G G,A A,A G,G A,A A,G G,A A,G G,G G,G G,C C,G G,A
TRAIN_125,0,0,0,2,G G,G G,C A,G A,C C,A A,A A,G G,A A,G G,A A,A A,A A,A A,G A,B
TRAIN_126,0,0,0,2,G G,G G,C A,G A,C A,A G,A A,G A,A A,G G,A A,A A,A G,A A,A A,B
TRAIN_127,0,0,0,1,A A,G G,A A,G G,A A,G G,G G,G A,G A,A G,G G,G A,G G,C A,G A,A
TRAIN_128,0,0,0,2,G G,A G,A A,A A,C A,A G,A A,G A,A A,A G,A A,G A,A G,A A,G A,C
TRAIN_129,0,0,0,2,G G,A G,C A,A A,A A,A G,G A,G A,A A,G G,A G,A A,A A,A A,A A,C
